                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1871,                 2.9738,                 1.4242,                0.00693,                      1,                0.48563,                0.35909,                 0.6092,                 3.1059,                 1.2474,                      0,                      0,                      0
                      1,                0.99092,                 2.9444,                 1.3338,                0.00692,                      1,                0.48693,                0.34429,                0.61413,                 3.1001,                  1.245,             8.4184e-06,             8.4184e-06,             8.4184e-06
